"Project";"Task";"Date";"Start";"End";"Duration";"Comment"
"PhotoOps";"Planning";"2013-11-18";"2013-11-18 09:00:00";"2013-11-18 09:30:00";"00:29:59";"check in / record hours / check off items for testing"
"PhotoOps";"Planning";"2013-11-19";"2013-11-19 10:00:00";"2013-11-19 10:15:00";"00:14:59";"check in / record hours / check email"
"PhotoOps";"Planning";"2013-11-20";"2013-11-20 08:30:00";"2013-11-20 08:45:00";"00:14:59";"check in / record hours / read email"
"PhotoOps";"Planning";"2013-11-21";"2013-11-21 08:45:00";"2013-11-21 09:00:00";"00:15:01";"check in / record hours / check email / check wiki"
"PhotoOps";"Planning";"2013-11-22";"2013-11-22 08:00:00";"2013-11-22 08:15:00";"00:15:00";"check in / record hours / check email"
"PhotoOps";"Planning";"2013-11-23";"2013-11-23 09:00:00";"2013-11-23 09:15:00";"00:15:00";"check in / records hours / check wiki / update tickets"
"PhotoOps";"Planning";"2013-11-25";"2013-11-25 08:45:00";"2013-11-25 09:00:00";"00:15:01";"check in / record hours / check email / answer email / check wiki"
"PhotoOps";"Planning";"2013-11-26";"2013-11-26 09:15:00";"2013-11-26 09:30:00";"00:14:59";"check in / record hours / check email / check wiki"
"PhotoOps";"Planning";"2013-11-27";"2013-11-27 09:15:00";"2013-11-27 09:15:00";"00:00:01";"check in / record hours / check email / check wiki"
"PhotoOps";"Planning";"2013-11-28";"2013-11-28 09:15:00";"2013-11-28 09:45:00";"00:30:00";"check in / record hours / check email / check wiki"
"PhotoOps";"Planning";"2013-11-29";"2013-11-29 09:00:00";"2013-11-29 09:15:00";"00:15:01";"check in / record hours / check email / check wiki"
"PhotoOps";"Planning";"2013-11-30";"2013-11-30 09:15:00";"2013-11-30 09:30:00";"00:15:00";"check in / record hours / check email / check wiki"
"PhotoOps";"Planning";"2013-12-02";"2013-12-02 09:15:00";"2013-12-02 09:30:00";"00:15:00";"check in / record hours / check email / check wiki"
"PhotoOps";"Planning";"2013-12-03";"2013-12-03 09:00:00";"2013-12-03 09:15:00";"00:15:00";"check in / records hours / check email / check wiki"
"PhotoOps";"Planning";"2013-12-04";"2013-12-04 08:45:00";"2013-12-04 09:00:00";"00:14:59";"check in / record hours / check email / check wiki"
"PhotoOps";"Programming";"2013-09-17";"2013-09-17 18:00:00";"2013-09-17 19:30:00";"01:30:00";"DB schema"
"PhotoOps";"Programming";"2013-09-18";"2013-09-18 09:00:00";"2013-09-18 13:15:00";"04:14:59";"design db schemas"
"PhotoOps";"Programming";"2013-09-19";"2013-09-19 10:45:00";"2013-09-19 11:45:00";"00:59:59";""
"PhotoOps";"Programming";"2013-09-19";"2013-09-19 11:45:00";"2013-09-19 13:45:00";"01:59:59";""
"PhotoOps";"Programming";"2013-09-20";"2013-09-20 11:00:00";"2013-09-20 11:30:00";"00:29:59";"finish designing DB"
"PhotoOps";"Programming";"2013-09-20";"2013-09-20 12:00:00";"2013-09-20 13:45:00";"01:45:00";"export sql, check code, create db, import sql, check code"
"PhotoOps";"Programming";"2013-09-20";"2013-09-20 17:30:00";"2013-09-20 18:15:00";"00:44:59";"build app framework
"
"PhotoOps";"Programming";"2013-09-20";"2013-09-20 18:45:00";"2013-09-20 19:30:00";"00:44:59";""
"PhotoOps";"Programming";"2013-09-21";"2013-09-21 17:15:00";"2013-09-21 18:45:00";"01:30:00";"finish setting Intel Appframework with PhoneGap"
"PhotoOps";"Programming";"2013-09-23";"2013-09-23 09:45:00";"2013-09-23 11:00:00";"01:14:59";"sidebar nav
remove bottom navbar"
"PhotoOps";"Programming";"2013-09-23";"2013-09-23 11:00:00";"2013-09-23 13:45:00";"02:45:00";"facebook plugin"
"PhotoOps";"Programming";"2013-09-24";"2013-09-24 09:15:00";"2013-09-24 14:15:00";"04:59:59";"facebook login"
"PhotoOps";"Programming";"2013-09-25";"2013-09-25 09:30:00";"2013-09-25 14:30:00";"05:00:00";"Facebook profile picture acquisition	"
"PhotoOps";"Programming";"2013-09-25";"2013-09-25 15:00:00";"2013-09-25 15:30:00";"00:29:59";"found bug in placing fbProfilePict / fixed"
"PhotoOps";"Programming";"2013-09-26";"2013-09-26 09:00:00";"2013-09-26 09:45:00";"00:44:59";""
"PhotoOps";"Programming";"2013-09-26";"2013-09-26 12:45:00";"2013-09-26 17:00:00";"04:15:00";""
"PhotoOps";"Programming";"2013-09-26";"2013-09-26 19:30:00";"2013-09-26 19:45:00";"00:14:59";"program logic / hubs page"
"PhotoOps";"Programming";"2013-09-27";"2013-09-27 09:45:00";"2013-09-27 11:45:00";"01:59:59";"login / avatar selection / ruff-in panels & logic"
"PhotoOps";"Programming";"2013-09-27";"2013-09-27 11:45:00";"2013-09-27 12:15:00";"00:30:00";"loading screen
"
"PhotoOps";"Programming";"2013-09-27";"2013-09-27 14:30:00";"2013-09-27 16:00:00";"01:29:59";""
"PhotoOps";"Programming";"2013-09-27";"2013-09-27 17:45:00";"2013-09-27 18:45:00";"00:59:59";"loading screen / network notifications"
"PhotoOps";"Programming";"2013-09-30";"2013-09-30 09:55:00";"2013-09-30 15:45:00";"05:49:59";"redo facebook login"
"PhotoOps";"Programming";"2013-09-30";"2013-09-30 20:15:00";"2013-09-30 21:00:00";"00:45:00";""
"PhotoOps";"Programming";"2013-10-01";"2013-10-01 09:00:00";"2013-10-01 12:00:00";"02:59:59";"facebook plugin / login
"
"PhotoOps";"Programming";"2013-10-01";"2013-10-01 12:00:00";"2013-10-01 16:00:00";"03:59:59";""
"PhotoOps";"Programming";"2013-10-01";"2013-10-01 18:00:00";"2013-10-01 19:15:00";"01:14:59";""
"PhotoOps";"Programming";"2013-10-02";"2013-10-02 09:30:00";"2013-10-02 15:00:00";"05:30:00";""
"PhotoOps";"Programming";"2013-10-02";"2013-10-02 16:30:00";"2013-10-02 17:30:00";"00:59:59";""
"PhotoOps";"Programming";"2013-10-02";"2013-10-02 17:30:00";"2013-10-02 18:00:00";"00:29:59";""
"PhotoOps";"Programming";"2013-10-03";"2013-10-03 09:30:00";"2013-10-03 12:00:00";"02:29:59";"avatar approval screens"
"PhotoOps";"Programming";"2013-10-03";"2013-10-03 12:15:00";"2013-10-03 12:30:00";"00:15:00";"redo splash screen
fixed
need to make new splash screen"
"PhotoOps";"Programming";"2013-10-03";"2013-10-03 12:30:00";"2013-10-03 14:45:00";"02:14:59";"restyle avatar edit screen / camera capture screen"
"PhotoOps";"Programming";"2013-10-04";"2013-10-04 10:15:00";"2013-10-04 14:45:00";"04:29:59";"hubs screen"
"PhotoOps";"Programming";"2013-10-04";"2013-10-04 14:45:00";"2013-10-04 17:00:00";"02:14:59";"setup access to local file system"
"PhotoOps";"Programming";"2013-10-04";"2013-10-04 19:00:00";"2013-10-04 21:15:00";"02:14:59";"setup adhoc distro
produce adhoc build and send"
"PhotoOps";"Programming";"2013-10-07";"2013-10-07 10:15:00";"2013-10-07 10:45:00";"00:29:59";"check rock port app 
large complex app with hundreds of nibs and images"
"PhotoOps";"Programming";"2013-10-07";"2013-10-07 10:45:00";"2013-10-07 15:15:00";"04:29:59";"discover method for hiding / showing menus"
"PhotoOps";"Programming";"2013-10-07";"2013-10-07 20:30:00";"2013-10-07 21:15:00";"00:45:00";"finish drop down / send pict"
"PhotoOps";"Programming";"2013-10-08";"2013-10-08 10:00:00";"2013-10-08 13:30:00";"03:29:59";"downloads / Facebook profile pict / etc"
"PhotoOps";"Programming";"2013-10-08";"2013-10-08 14:30:00";"2013-10-08 16:00:00";"01:30:00";"continue Facebook download etc"
"PhotoOps";"Programming";"2013-10-08";"2013-10-08 17:30:00";"2013-10-08 18:15:00";"00:45:00";"finally got init / login to work correctly"
"PhotoOps";"Programming";"2013-10-08";"2013-10-08 18:15:00";"2013-10-08 20:00:00";"01:45:00";"slide in animation research"
"PhotoOps";"Programming";"2013-10-09";"2013-10-09 05:00:00";"2013-10-09 07:45:00";"02:44:59";"animate menu
"
"PhotoOps";"Programming";"2013-10-09";"2013-10-09 09:30:00";"2013-10-09 11:30:00";"01:59:59";"move hub images to server
write routine to transfer images to mobile / display on screen"
"PhotoOps";"Programming";"2013-10-09";"2013-10-09 11:30:00";"2013-10-09 12:00:00";"00:30:00";"finish transferring images / hooking them up to work"
